,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
934,201900013769,138 280 790,Z01,2,30,0,1,0,1,0,,16,10,2019,07:20,2,75,75114,2,4,1,6,AVENUE DU MAINE,48.835012,2.3239377
935,201900013771,138 280 786,B01,1,32,0,2,2,17,1,,16,10,2019,17:30,1,75,75117,2,3,2,3,AVENUE DE SAINT OUEN,48.895869,2.32844
936,201900013772,138 280 785,A01,2,1,0,1,1,1,5,,16,10,2019,15:15,1,75,75110,2,1,2,6,BOULEVARD DE LA CHAPELLE,48.883671,2.350383
937,201900013773,138 280 784,A01,3,50,0,0,1,1,3,,16,10,2019,13:20,1,75,75108,2,2,2,7,PONT DES INVALIDES,48.8642675,2.3103668
938,201900014230,138 279 946,A01,1,32,1,0,1,14,1,,6,8,2019,06:50,5,75,75115,2,1,1,6,RUE ERNEST RENAN,48.843737,2.309645
939,201900014231,138 279 945,A01,1,32,11,0,1,13,1,,6,8,2019,05:06,2,75,75114,2,3,1,6,AVENUE DU GENERAL LECLERC,48.8239542,2.3257182
940,201900014232,138 279 944,A01,3,1,0,0,7,1,5,,5,8,2019,20:44,2,75,75101,2,1,1,7,QUAI DES TUILERIES,48.8630797,2.3232082
941,201900014234,138 279 941,B01,2,1,0,2,7,19,5,,6,8,2019,16:30,1,75,75119,2,7,3,3,AVENUE DE LA PORTE DES LILAS,48.8777771,2.4081677
942,201900014235,138 279 939,A01,2,1,0,2,2,1,5,,5,8,2019,10:40,1,75,75120,2,2,1,3,RUE PAGANINI,48.8513042,2.4118916
943,201900014237,138 279 935,B01,2,2,0,2,7,17,1,,4,8,2019,17:30,1,75,75119,2,1,1,3,AVENUE CORENTIN CARIOU,48.895401,2.383068
944,201900014239,138 279 930,B01,1,50,0,2,4,13,3,,6,8,2019,00:01,5,75,75118,2,1,1,3,BOULEVARD ORNANO,48.8972268,2.3449615
945,201900014240,138 279 929,B01,1,30,0,2,1,1,1,,6,8,2019,00:10,5,75,75117,2,2,1,3,AVENUE DE CLICHY,48.8943012,2.3137646
946,201900014241,138 279 926,B01,2,1,0,2,1,1,5,,4,8,2019,16:10,1,75,75117,2,1,1,3,AVENUE DE WAGRAM,48.8866,2.304373
947,201900014242,138 279 924,A01,2,30,0,2,1,1,3,,5,8,2019,05:40,5,75,75117,2,7,1,3,RUE DU CAPORAL PEUGEOT,48.8879509,2.2885627
948,201900014245,138 279 919,Z01,1,1,0,2,1,5,5,,4,8,2019,19:35,1,75,75114,2,1,1,6,BOULEVARD BRUNE,48.823993,2.322337
949,201900014245,138 279 920,A01,2,1,0,2,1,1,5,,4,8,2019,19:35,1,75,75114,2,1,1,6,BOULEVARD BRUNE,48.823993,2.322337
950,201900014246,138 279 918,B01,2,32,0,2,2,1,1,,5,8,2019,18:45,1,75,75113,2,3,1,3,QUAI D IVRY,48.8251187,2.3887378
951,201900014248,138 279 915,Z01,1,1,0,1,1,25,5,,5,8,2019,20:45,2,75,75112,2,7,1,6,PLACE EDOUARD RENARD,48.8353618,2.4065982
952,201900014250,138 279 912,B01,1,32,0,2,7,17,3,,4,8,2019,16:40,1,75,75112,2,2,1,3,AVENUE DAUMESNIL,48.847975,2.373947
953,201900014251,138 279 911,A01,2,50,0,0,0,1,3,,3,8,2019,22:15,5,75,75112,2,2,1,7,RUE DE CHARENTON,48.846616,2.378759
954,201900014252,138 279 909,A01,2,1,0,2,1,17,5,,6,8,2019,08:30,1,75,75111,2,2,1,3,RUE DE CHARONNE,48.8557651,2.3913253
955,201900014252,138 279 910,B01,2,31,0,2,1,15,1,,6,8,2019,08:30,1,75,75111,2,2,1,3,RUE DE CHARONNE,48.8557651,2.3913253
956,201900014253,138 279 907,B01,2,30,0,2,1,1,1,,5,8,2019,12:50,1,75,75111,2,2,1,3,AVENUE PARMENTIER,48.867001,2.373221
957,201900014589,138 279 174,B01,1,33,0,2,1,1,1,,3,7,2019,09:44,1,75,75116,2,2,1,3,AVENUE DU MARECHAL MAUNOURY,48.857696,2.263563
958,201900014591,138 279 171,B01,2,33,0,2,1,1,1,,1,7,2019,03:42,5,75,75119,2,3,1,3,RUE JACQUES DUCHESNE,48.898778,2.374133
959,201900014592,138 279 169,B01,1,41,0,2,4,2,3,,2,7,2019,16:27,1,75,75105,2,2,1,2,RUE CLAUDE BERNARD,48.840263,2.346092
960,201900014593,138 279 166,A01,2,32,0,2,1,17,1,,30,6,2019,21:00,1,75,75106,2,7,1,3,PLACE MICHEL DEBRE,48.852077,2.329847
961,201900014594,138 279 165,B01,2,33,0,2,1,1,1,,3,7,2019,18:00,1,75,75120,2,4,1,3,AVENUE GAMBETTA,48.8675,2.400698
962,201900014595,138 279 163,Z01,1,30,0,1,0,1,1,,3,7,2019,18:20,1,75,75118,2,2,1,6,RUE ORDENER,48.892881,2.341949
963,201900014597,138 279 160,B01,1,30,0,2,4,23,3,,3,7,2019,12:49,1,75,75117,2,7,1,2,PLACE DU MARECHAL JUIN,48.885105,2.297885
964,201900014598,138 279 159,A01,1,32,0,0,2,1,1,,3,7,2019,01:20,5,75,75116,2,1,1,7,VOIE GEORGES POMPIDOU,48.84509,2.272756
965,201900014599,138 279 158,B01,2,32,0,2,3,1,1,,2,7,2019,09:40,1,75,75116,2,1,1,3,QUAI LOUIS BLERIOT,48.842202,2.269701
966,201900014600,138 279 156,B01,1,60,0,2,1,1,5,,3,7,2019,10:25,1,75,75115,2,1,1,2,BOULEVARD LEFEBVRE,48.832561,2.288742
967,201900014601,138 279 153,B01,2,50,0,2,1,1,3,,2,7,2019,17:00,1,75,75114,2,1,1,3,RUE DAREAU,48.830977,2.336935
968,201900014602,138 279 151,B01,1,50,0,2,1,16,3,,3,7,2019,19:15,1,75,75107,2,2,7,3,AVENUE DU MARECHAL GALLIENI,48.861043,2.313238
969,201900014603,138 279 150,A01,1,50,0,2,4,2,3,,3,7,2019,01:40,5,75,75107,2,2,1,6,QUAI D ORSAY,48.862597,2.310428
970,201900014604,138 279 147,B01,1,30,0,2,3,5,1,,2,7,2019,12:30,1,75,75101,2,1,1,3,QUAI DES TUILERIES,48.861891,2.327007
971,201900014686,138 278 998,A01,1,31,0,2,1,2,1,,20,11,2019,16:25,1,75,75105,2,3,1,2,QUAI DE MONTEBELLO,48.851932,2.349209
972,201900014687,138 278 996,A01,1,33,0,2,3,18,1,,19,11,2019,23:37,5,75,75105,2,2,1,3,RUE SAINT JACQUES,48.847354,2.343654
973,201900014688,138 278 994,A01,2,31,0,0,0,21,1,,20,11,2019,17:45,2,75,75119,2,1,1,7,RUE AUGUSTIN THIERRY,48.8761276,2.3937024
974,201900014689,138 278 993,A01,2,33,0,0,8,1,1,,19,11,2019,11:00,1,75,75117,2,1,1,7,RUE CARDINET,48.888298,2.315363
975,201900014690,138 278 992,A01,1,30,0,2,1,1,1,,19,11,2019,21:10,5,75,75117,2,1,1,3,AVENUE DE VILLIERS,48.884358,2.301909
976,201900014691,138 278 989,B01,1,33,0,2,8,1,1,,19,11,2019,19:28,5,75,75116,2,2,1,3,AVENUE KLEBER,48.872434,2.294063
977,201900014692,138 278 987,B01,1,50,0,2,7,19,3,,19,11,2019,17:00,5,75,75116,2,7,1,3,PLACE DE LA PORTE DE SAINT CLOUD,48.8374605,2.2569019
978,201900014693,138 278 986,B01,1,30,0,2,1,1,1,,19,11,2019,23:05,5,75,75112,2,4,1,3,AVENUE DE NOGENT   VINCENNES,48.844293,2.442275
979,201900014695,138 278 980,A01,1,30,0,2,1,14,1,,20,11,2019,12:00,1,75,75101,2,2,1,3,RUE ETIENNE MARCEL,48.8641945,2.347602
980,201900014788,138 278 794,A01,1,80,0,2,1,15,2,,31,12,2019,09:20,1,75,75115,2,2,1,3,RUE DE LA CONVENTION,48.837226,2.296443
981,201900014788,138 278 795,B01,2,30,0,2,8,1,1,,31,12,2019,09:20,1,75,75115,2,2,1,3,RUE DE LA CONVENTION,48.837226,2.296443
982,201900014789,138 278 792,A01,2,50,0,2,7,19,3,,31,12,2019,08:15,2,75,75115,2,3,1,6,QUAI ANDRE CITROEN,48.848428,2.280929
983,201900014790,138 278 791,C01,2,80,0,2,1,25,2,,30,12,2019,23:25,3,75,75115,2,2,1,5,RUE BRANCION,48.834719,2.305171
984,201900014791,138 278 788,B01,1,31,0,2,1,1,1,,31,12,2019,16:10,1,75,75114,2,3,1,3,AVENUE DU GENERAL LECLERC,48.8239625,2.3257203
985,201900014795,138 278 783,B01,2,33,0,2,2,17,1,,31,12,2019,10:25,1,75,75111,2,4,1,3,BOULEVARD VOLTAIRE,48.857363,2.38089
986,201900014798,138 278 778,A01,2,31,0,2,7,17,1,,31,12,2019,08:45,1,75,75111,2,3,1,3,BOULEVARD DU TEMPLE,48.864657,2.36581
987,201900014903,138 278 597,A01,2,33,0,2,3,3,1,,30,12,2019,18:00,5,75,75118,2,1,1,2,BD PERIPHERIQUE EXTERIEUR,48.900847,2.334437
988,201900014904,138 278 595,A01,1,43,0,2,4,12,1,,29,12,2019,21:30,5,75,75120,2,4,1,3,ECHANGEUR MONTREUIL,48.851432,2.415116
989,201900014905,138 278 592,B01,1,43,0,2,8,1,1,,30,12,2019,17:30,5,75,75120,2,3,1,3,RUE LEON FRAPIE,48.873355,2.410265
990,201900014907,138 278 589,A01,1,50,0,2,0,1,3,,30,12,2019,20:30,5,75,75119,2,1,1,6,AVENUE DE FLANDRE,48.889452,2.375482
991,201900014907,138 278 590,Z01,1,30,0,2,0,13,0,,30,12,2019,20:30,5,75,75119,2,1,1,6,AVENUE DE FLANDRE,48.889452,2.375482
992,201900014908,138 278 587,B01,1,1,0,2,7,19,5,,30,12,2019,17:30,5,75,75119,2,1,1,3,BOULEVARD DE LA VILLETTE,48.872677,2.37641
993,201900014908,138 278 588,A01,1,33,0,2,7,1,1,,30,12,2019,17:30,5,75,75119,2,1,1,3,BOULEVARD DE LA VILLETTE,48.872677,2.37641
994,201900014909,138 278 585,A01,2,31,0,2,7,15,1,,30,12,2019,09:10,1,75,75115,2,1,1,3,RUE DE LA PORTE D ISSY,48.8326491,2.2814197
995,201900014909,138 278 586,B01,1,1,0,2,1,1,5,,30,12,2019,09:10,1,75,75115,2,1,1,3,RUE DE LA PORTE D ISSY,48.8326491,2.2814197
